# generated by scripts/extract-class-names.py from raw/Path of Exile - Item Filters.html (page save, MANIFEST.md) and ../repoe/data/class-to-trade-category.csv. The page lists NO class vocabulary; `Class` takes an "Item class name" and one example uses one. role=class_value means the page uses the token as a Class value; role=incidental means the token only occurs in other prose or examples.
page_token,matched_column,role,export_class_name,export_category,trade_id,page_context
Currency,class_name,class_value,Currency,Currency,currency,name Example Class Currency Corrupted Filter b
ArchnemesisMod,item_class,incidental,Archnemesis Mods,,,nyEnchantment True ArchnemesisMod Filter by Archneme
Bow,item_class,incidental,Bows,Bow,weapon.bow,"BaseType ""Thicket Bow"" BaseWard Filter b"
Jewels,class_name,incidental,Jewels,Jewel,jewel.base,ode Filter Cluster Jewels by enchantment typ
Maps,class_name,incidental,Maps,Map,map,p Filter by Mirage Maps. Values True / Fal
Shield,item_class,incidental,Shields,Shield,armour.shield,ter by base Energy Shield. Values Numeric Ex
